category,art,brand,name,colorWay,color,fibers,inStock,nm,Price/item,price,nm1,nm2,nm3,meterage
wool,707491,GTI,loira,blue,sky blue,100%WO,465,1/850,€ 23.25,€ 5.00,1,1,850,85
"pailettes,mohair,fantasy",404166,Unknown,mohair paillette,blue,navy - silver,WM PA PL,825,1/4000,€ 41.25,€ 5.00,1,1,4000,400
cashmere,100108,Filpucci,ninety five  ,blue,blauw,100%WS,1060,2/26000,€ 137.80,€ 13.00,1,2,26000,1300
cashmere,100133,Filpucci,ninety five  ,blue,blue navy,100%WS,950,2/26000,€ 123.50,€ 13.00,1,2,26000,1300
cashmere,101910,Linsieme,nobel,gray,light grey melange,100%WS,160,2/28000,€ 24.00,€ 15.00,1,2,28000,1400
"cashmere mix,merino",200207,Botto Poala,oregon,blue,donker blauw,80%WV 20%WS,2020,1/15000,€ 121.20,€ 6.00,1,1,15000,1500
"cashmere mix,merino",202841,Botto Poala,oregon,red,bordeaux,80%WV 20%WS,490,1/1200,€ 29.40,€ 6.00,1,1,1200,120
"cashmere mix,merino",202842,Botto Poala,oregon,blue,blue,80%WV 20%WS,430,1/1200,€ 25.80,€ 6.00,1,1,1200,120
"pailettes,merino,fantasy",901012,Merino - Paillette,pail,beige,sand,80%WV 20%PA,250,3/18000,€ 20.00,€ 8.00,1,3,18000,600
"pailettes,merino,fantasy",901013,Merino - Paillette,pail,beige,sand,80%WV 20%PA,510,3/18000,€ 40.80,€ 8.00,1,3,18000,600
"pailettes,fantasy",901017,Paillettes,pail,green,mint,100%PA,500,1/1/7500,€ 30.00,€ 6.00,1,1,7500,750
"pailettes,fantasy",901018,Paillettes,pail,blue,marine blauw,100%PA,500,1/1/7500,€ 30.00,€ 6.00,1,1,7500,750
alpaca,404278,Sesia,pampas,green,dark green,50%bWP 50%WV,965,1/7000,€ 38.60,€ 4.00,1,1,7000,700
alpaca,404279,Sesia,pampas,green,dark green,50%bWP 50%WV,890,1/7000,€ 35.60,€ 4.00,1,1,7000,700
alpaca,404280,Sesia,pampas,green,dark green,50%bWP 50%WV,1450,1/7000,€ 58.00,€ 4.00,1,1,7000,700
alpaca,404281,Sesia,pampas,green,dark green,50%bWP 50%WV,1610,1/7000,€ 64.40,€ 4.00,1,1,7000,700
alpaca,404283,Sesia,pampas,green,dark green,50%bWP 50%WV,1585,1/7000,€ 63.40,€ 4.00,1,1,7000,700
alpaca,404285,Sesia,pampas,green,dark green,50%bWP 50%WV,400,1/7000,€ 16.00,€ 4.00,1,1,7000,700
alpaca,404103,Papi Fabio,peru,black,black,85%WV 15%WP,780,1/4250,€ 27.30,€ 3.50,1,1,4250,425
alpaca,404104,Papi Fabio,peru,red,red,85%WV 15%WP,1090,1/4250,€ 38.15,€ 3.50,1,1,4250,425
alpaca,404105,Papi Fabio,peru,brown,brown,85%WV 15%WP,1070,1/4250,€ 37.45,€ 3.50,1,1,4250,425
alpaca,404106,Papi Fabio,peru,blue,blue,85%WV 15%WP,1060,1/4250,€ 37.10,€ 3.50,1,1,4250,425
alpaca,404107,Papi Fabio,peru,red,red,85%WV 15%WP,1050,1/4250,€ 36.75,€ 3.50,1,1,4250,425
alpaca,404108,Papi Fabio,peru,green,green,85%WV 15%WP,1070,1/4250,€ 37.45,€ 3.50,1,1,4250,425
alpaca,404110,Papi Fabio,peru,gray,grey blue,85%WV 15%WP,595,1/4250,€ 20.83,€ 3.50,1,1,4250,425
alpaca,404112,Papi Fabio,peru,red,red,85%WV 15%WP,535,1/4250,€ 18.73,€ 3.50,1,1,4250,425
alpaca,404113,Papi Fabio,peru,brown,brown,85%WV 15%WP,1050,1/4250,€ 36.75,€ 3.50,1,1,4250,425
alpaca,404114,Papi Fabio,peru,brown,brown,85%WV 15%WP,1060,1/4250,€ 37.10,€ 3.50,1,1,4250,425
merino,707673,Südwolle,pirenei,red,bordeaux,100%WV,790,2/1/8000,€ 29.63,€ 3.75,2,1,8000,400
fantasy,901025,unknown,poly - pail,blue,navy - blue pail,98%PET 2%PL,570,1/1/5000,€ 34.20,€ 6.00,1,1,5000,500
cotton,901029,Fil.Pa,positano,brown,brown,75%CO 25%PL,695,1/21/1915,€ 31.28,€ 4.50,1,1,5000,500
cotton,901030,Fil.Pa,positano,brown,brown,75%CO 25%PL,680,1/21/1915,€ 30.60,€ 4.50,1,1,5000,500
cotton,901032,Fil.Pa,positano,natural,champagne,75%CO 25%PL,800,1/21/1915,€ 36.00,€ 4.50,1,1,5000,500
cotton,901033,Fil.Pa,positano,natural,champagne,75%CO 25%PL,620,1/21/1915,€ 27.90,€ 4.50,1,1,5000,500
cotton,901035,Fil.Pa,positano,natural,champagne,75%CO 25%PL,815,1/21/1915,€ 36.68,€ 4.50,1,1,5000,500
cotton,901039,Fil.Pa,positano,gray,grey,75%CO 25%PL,610,1/21/1915,€ 27.45,€ 4.50,1,1,5000,500
cotton,901041,Fil.Pa,positano,gray,grey,75%CO 25%PL,485,1/21/1915,€ 21.83,€ 4.50,1,1,5000,500
cotton,901044,Fil.Pa,positano,gray,grey,75%CO 25%PL,420,1/21/1915,€ 18.90,€ 4.50,1,1,5000,500
cotton,901046,Fil.Pa,positano,gray,grey,75%CO 25%PL,390,1/21/1915,€ 17.55,€ 4.50,1,1,5000,500
cotton,901028*,Fil.Pa,positano,orange,orange,75%CO 25%PL,560,1/21/1915,€ 25.20,€ 4.50,1,1,5000,500
cotton,901040*,Fil.Pa,positano,gray,grey,75%CO 25%PL,600,1/21/1915,€ 27.00,€ 4.50,1,1,5000,500
cotton,901048*,Fil.Pa,positano,gray,grey,75%CO 25%PL,385,1/21/1915,€ 17.33,€ 4.50,1,1,5000,500
cashmere,101843,Linsieme,real,black,black,100%WS,135,2/28000,€ 20.25,€ 15.00,1,2,28000,1400
merino,700717,Papi,silte,blue,blauw melange,100%WV,1205,1/15000,€ 42.18,€ 3.50,1,1,15000,1500
merino,700718,Papi,silte,gray,grijs piombo,100%WV,1155,1/15000,€ 40.43,€ 3.50,1,1,15000,1500
merino,808152,Lanecardate,simba,brown,chocolate,90%WV 10%PA,415,1/3300,€ 16.60,€ 4.00,1,1,3300,330
merino,808155,Lanecardate,simba,pink,powder pink,90%WV 10%PA,505,1/3300,€ 20.20,€ 4.00,1,1,3300,330
merino,808156,Lanecardate,simba,white,white,90%WV 10%PA,520,1/3300,€ 20.80,€ 4.00,1,1,3300,330
merino,808158,Lanecardate,simba,white,white,90%WV 10%PA,235,1/3300,€ 9.40,€ 4.00,1,1,3300,330
silk,505117,GTI,sud,blue,navy - boucle,100%SE,820,1/10000,€ 36.90,€ 4.50,1,1,10000,1000
merino,700709,New mill,super geelong,blue,marine blauw,100%WV,800,2/15000,€ 32.00,€ 4.00,1,2,15000,750
viscose,506094,Be.Mi.Va,teddy,blue,navy,80%VI 20%PA,965,1/4500,€ 28.95,€ 3.00,1,1,4500,450
